url,fuel_type,horsepower,MPG,seats,curb_weight,length,width,height,wheel_base,drivetrain,body_type
https://www.carvana.com/vehicle/3461125?refSource=srp,Gas,158,29,5,2956,179,70.9,55.7,107.7,FWD,hatchback
https://www.carvana.com/vehicle/3431916?refSource=srp,Gas,160,24,5,2987,171.7,80.5,57.8,104.3,FWD,hatchback
https://www.carvana.com/vehicle/3502914?refSource=srp,Electric,200,125,5,3680,169.5,80.6,63.6,105,FWD,hatchback
https://www.carvana.com/vehicle/3450895?refSource=srp,Electric,200,131,5,3589,163.2,80.3,63.4,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3447078?refSource=srp,Gas,128,33,5,2568,161.4,67,60,99.6,FWD,hatchback
https://www.carvana.com/vehicle/3431279?refSource=srp,Hybrid,150,49,5,3230,181.1,70.2,55.9,108.3,AWD,hatchback
https://www.carvana.com/vehicle/3473305?refSource=srp,Gas,98,30,4,2312,143.1,62.8,58.4,93.9,FWD,hatchback
https://www.carvana.com/vehicle/3422914?refSource=srp,Electric,200,131,5,3624,163.2,80.3,63.4,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3446154?refSource=srp,Electric,200,124,5,3715,169.5,80.6,63.6,105.3,FWD,hatchback
https://www.carvana.com/vehicle/3468080?refSource=srp,Electric,200,125,5,3680,169.5,80.6,63.6,105,FWD,hatchback
https://www.carvana.com/vehicle/3460809?refSource=srp,Gas,98,30,4,2278,143.1,62.8,58.4,93.9,FWD,hatchback
https://www.carvana.com/vehicle/3518159?refSource=srp,Electric,200,131,5,3589,163.2,80.3,63.4,102,FWD,hatchback
https://www.carvana.com/vehicle/3444870?refSource=srp,Gas,120,27,5,2536,159.7,77.8,58.1,98,FWD,hatchback
https://www.carvana.com/vehicle/3477287?refSource=srp,Electric,200,131,5,3624,163.2,80.3,63.4,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3428219?refSource=srp,Hybrid,150,57,5,3097,181.1,70.2,55.9,108.3,FWD,hatchback
https://www.carvana.com/vehicle/3465170?refSource=srp,Hybrid,98,50,5,3165,176.4,68.7,58.7,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3476305?refSource=srp,Gas,173,24,5,2983,169.3,70.1,57.9,104.3,FWD,hatchback
https://www.carvana.com/vehicle/3458040?refSource=srp,Gas,98,30,4,2312,143.1,62.8,58.4,93.9,FWD,hatchback
https://www.carvana.com/vehicle/3448332?refSource=srp,Hybrid,95,54,5,3050,178.7,69.3,58.1,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3452642?refSource=srp,Hybrid,95,54,5,3050,178.7,69.3,58.1,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3452913?refSource=srp,Hybrid,95,55,4,3375,182.9,69.3,57.9,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3338445?refSource=srp,Gas,106,30,5,2335,155.5,66.7,59.4,98.8,FWD,hatchback
https://www.carvana.com/vehicle/3490597?refSource=srp,Hybrid,104,54,5,3031,176,71.7,56.9,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3493199?refSource=srp,Hybrid,73,53,5,2500,157.3,66.7,56.9,100.4,FWD,hatchback
https://www.carvana.com/vehicle/3466313?refSource=srp,Gas,201,22,5,3102,170.9,70.7,57.7,104.3,FWD,hatchback
https://www.carvana.com/vehicle/3490481?refSource=srp,Gas,306,22,4,3117,179.4,73.9,56.5,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3451943?refSource=srp,Electric,200,127,5,3563,164,69.5,62.8,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3493169?refSource=srp,Gas,174,31,5,2955,177.9,70.8,56.5,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3500606?refSource=srp,Gas,98,30,4,2278,143.1,62.8,58.4,93.9,FWD,hatchback
https://www.carvana.com/vehicle/3453117?refSource=srp,Hybrid,98,51,5,3042,176.4,68.7,58.7,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3467079?refSource=srp,Flexible Fuel,160,26,5,2987,171.7,80.5,57.8,104.2,FWD,hatchback
https://www.carvana.com/vehicle/3370867?refSource=srp,Hybrid,98,51,5,3042,176.4,68.7,58.7,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3422695?refSource=srp,Gas,130,33,5,2513,160,67,60,99.6,FWD,hatchback
https://www.carvana.com/vehicle/3415041?refSource=srp,Gas,130,32,5,2573,160,67,60,99.6,FWD,hatchback
https://www.carvana.com/vehicle/3411932?refSource=srp,Hybrid,98,51,5,3042,175.6,68.7,58.7,106.3,FWD,hatchback
https://www.carvana.com/vehicle/3471450?refSource=srp,Gas,128,31,5,2644,161.4,67,60,99.6,FWD,hatchback
https://www.carvana.com/vehicle/3378341?refSource=srp,Hybrid,150,52,5,3097,181.1,70.2,55.9,108.3,FWD,hatchback
https://www.carvana.com/vehicle/3509874?refSource=srp,Electric,200,131,5,3589,163.2,80.3,63.4,102.4,FWD,hatchback
https://www.carvana.com/vehicle/3400082?refSource=srp,Gas,159,26,5,3043,171.7,80.5,57.8,104.2,FWD,hatchback
https://www.carvana.com/vehicle/3468528?refSource=srp,Gas,162,24,5,2989,170.9,70.7,57.7,104.3,FWD,hatchback
https://www.carvana.com/vehicle/3530270?refSource=srp,Electric,200,128,5,3563,164,69.5,62.8,102.4,FWD,hatchback
